date,case_shiller,cs_ret,work_over55,housing_starts,monthly_supply,confidence,pop_growth,unemploy,10yr_treas,income,cpi,gini_ratio
10/1/2003,137.978,0.006580291,35.8,1967,3.8,89.6,0.000868458,4.7,4.27,43166.5,184.9,0.463666667
11/1/2003,138.769,0.005732798,36.1,2083,4.1,93.7,0.000799111,4.8,4.3,43242.25,185,0.463833333
12/1/2003,139.632,0.006218968,36,2057,4,92.6,0.000688811,4.7,4.27,43318,185.5,0.464
1/1/2004,140.711,0.007727455,36,1911,3.8,103.8,0.00063012,5.3,4.17,43402.66667,186.3,0.464166667
2/1/2004,142.034,0.00940225,36.2,1846,3.7,94.4,0.000602344,5.1,4.08,43487.33333,186.7,0.464
3/1/2004,144.085,0.014440204,36.3,1998,3.6,95.8,0.000660127,5.2,3.82,43572,187.1,0.4645
4/1/2004,146.182,0.014553909,35.8,2003,4,94.2,0.000745144,4.5,4.29,43656.66667,187.4,0.464666667
5/1/2004,148.335,0.014728216,36,1981,3.8,90.2,0.000744589,4.2,4.71,43741.33333,188.2,0.464833333
6/1/2004,150.518,0.014716689,36.2,1828,3.9,95.6,0.000771339,4.4,4.75,43826,188.9,0.465
7/1/2004,152.336,0.01207829,36.1,2002,4.5,96.7,0.00081849,4.6,4.52,43910.66667,189.1,0.465166667
8/1/2004,153.813,0.009695673,36.4,2024,4.3,95.9,0.000872342,4.4,4.29,43995.33333,189.2,0.465333333
9/1/2004,155.108,0.008419314,36.3,1905,4.1,94.2,0.000857963,4.1,4.15,44080,189.8,0.4655
10/1/2004,156.299,0.007678521,36.2,2072,3.9,91.7,0.000881039,4,4.09,44164.66667,190.8,0.465666667
11/1/2004,157.498,0.007671194,36.5,1782,4.3,92.8,0.000802094,4.2,4.18,44249.33333,191.7,0.465833333
12/1/2004,158.674,0.007466761,36.6,2042,4.1,97.1,0.000774283,4.4,4.24,44334,191.7,0.466
1/1/2005,160.136,0.00921386,36.3,2144,4.4,95.5,0.000746537,4.8,4.23,44500,191.6,0.46625
2/1/2005,161.932,0.011215467,36.7,2207,4.3,94.1,0.000647646,4.7,4.16,44666,192.4,0.467
3/1/2005,164.582,0.016364894,36.6,1864,4.1,92.6,0.00061673,4.5,4.48,44832,193.1,0.46675
4/1/2005,167,0.014691765,37.2,2061,4.3,87.7,0.000687467,4,4.38,44998,193.7,0.467
5/1/2005,169.542,0.015221557,37.1,2025,4.2,86.9,0.000724221,3.8,4.15,45164,193.6,0.46725
6/1/2005,172.013,0.01457456,37.2,2068,4.3,96,0.000784568,4,4.01,45330,193.7,0.4675
7/1/2005,174.096,0.01210955,37.3,2054,4.2,96.5,0.000844777,4.2,4.14,45496,194.9,0.46775
8/1/2005,175.923,0.01049421,37.5,2095,4.5,89.1,0.000857569,3.9,4.29,45662,196.1,0.468
9/1/2005,177.612,0.009600791,37.6,2151,4.7,76.9,0.000900688,3.9,4.19,45828,198.8,0.46825
10/1/2005,178.755,0.006435376,37.6,2065,4.5,74.2,0.000893137,3.8,4.46,45994,199.1,0.4685
11/1/2005,179.678,0.005163492,37.4,2147,5,81.6,0.00079132,4,4.55,46160,198.1,0.46875
12/1/2005,180.112,0.002415432,37.6,1994,4.9,91.5,0.000753683,4,4.46,46326,198.1,0.469
1/1/2006,180.833,0.004003065,37.6,2273,5.3,91.2,0.000726219,4.2,4.4,46482.25,199.3,0.469083333
2/1/2006,181.504,0.003710606,37.5,2119,6.1,86.7,0.000695455,4.3,4.57,46638.5,199.4,0.469
3/1/2006,182.752,0.006875882,37.6,1969,5.9,88.9,0.000691614,4.2,4.71,46794.75,199.7,0.46925
4/1/2006,183.649,0.004908291,38,1821,6.3,87.4,0.000741461,3.9,4.99,46951,200.7,0.469333333
5/1/2006,184.381,0.003985864,37.9,1942,6.2,79.1,0.000720797,3.6,5.11,47107.25,201.3,0.469416667
6/1/2006,184.551,0.000922004,38,1802,6.3,84.9,0.000814081,3.6,5.11,47263.5,201.8,0.4695
